3080287,9812,Aadies Way,Newfield,Invercargill
1810801,3083,Aard Avenue,Reporoa,
1800751,5032,Aaron Court,Paraparaumu Beach,Paraparaumu
1788560,7183,Aaron Creek Road,Upper Takaka,Takaka
1813813,3110,Aaron Place,Brookfield,Tauranga
1789410,7096,Aaron Road,Golden Downs,Wakefield
1832934,2016,Aaronville Way,East Tamaki,Auckland
1828235,2102,Aarts Avenue,Manurewa,Auckland
3050847,0118,Aarts Place,One Tree Point,Whangarei
3083293,7005,Aata Lane,Mapua,
3059530,1060,Abattoir Lane,"Mount Wellington,Otahuhu",Auckland
1801210,4795,Abattoir Road,Taihape,
1806740,3574,Abattoir Road,Turua,Ngatea
1787850,7825,Abattoir Road,Westport,
1839932,0112,Abba Lane,Tikipunga,Whangarei
1833845,8014,Abberfield Lane,St Albans,Christchurch
1786754,8014,Abberley Crescent,St Albans,Christchurch
3042475,0175,Abbey Caves Road,"Abbey Caves,Whareora","Whangarei,Whareora"
3078868,9018,Abbeyfield Close,Abbotsford,Dunedin
1821692,0626,Abbeygate Street,Birkdale,Auckland
1771984,9010,Abbeyhill Road,Pine Hill,Dunedin
1786751,8013,Abbey Place,Mairehau,Christchurch
3018093,1010,Abbey Street,"Auckland Central,Grey Lynn",Auckland
1815980,3110,Abbey Way,Judea,Tauranga
1841813,7120,Abbey Way,Motueka,
1815722,3330,Abbey Way,Rangatira Park,Taupo
1838525,5024,Abbey Way,Whitby,Porirua
1839336,3210,Abbie Lane,Rototuna,Hamilton
1803004,4210,Abbot Avenue,Waipawa,
1831365,0610,Abbotleigh Avenue,Te Atatu Peninsula,Auckland
1806741,3574,Abbot Road,Pipiroa,Ngatea
1772720,9018,Abbotsford Road,Green Island,Dunedin
1795271,5889,Abbotsford Road,Tauweru,Masterton
1804296,4210,Abbotsford Road,Waipawa,
1771189,9500,Abbotsford Street,Roxburgh,
1795273,5889,Abbotsford Street,Tauweru,Masterton
1807435,3200,Abbotsford Street,Whitiora,Hamilton
1821861,0624,Abbotsford Terrace,Devonport,Auckland
1796734,4501,Abbot Street,Gonville,Whanganui
1776604,9810,Abbot Street,Waverley,Invercargill
1826295,0110,Abbots Way,Raumanga,Whangarei
1799639,5032,Abbott Court,Paraparaumu,
1814301,3682,Abbott Road,Waikino,Waihi
1770135,9018,Abbotts Hill Road,Abbotsford,Dunedin
1784680,8042,Abbotts Place,Avonhead,Christchurch
1800488,6035,Abbott Street,Ngaio,Wellington
3053940,7912,Abbott Street,Pareora,
1802213,4010,Abbott Street,Te Hapara,Gisborne
1804294,4210,Abbott Street,Waipawa,
1818401,1050,Abbotts Way,Remuera,Auckland
1816776,9371,Abbottswood Lane,Lower Shotover,Queenstown
1840327,2120,Abby Close,Pukekohe,
1799680,4410,Abby Road,Fitzherbert,Palmerston North
1839036,5024,Abel Glen,Aotea,Porirua
1813571,3116,Abelia Avenue,Mount Maunganui,
1828253,2025,Abelia Place,Papatoetoe,Auckland
1818709,0871,Abel Road,Helensville,
3055161,6011,Abel Smith Street,"Aro Valley,Te Aro",Wellington
1822810,0610,Abel Tasman Avenue,Henderson,Auckland
1789264,,Abel Tasman Drive,"Clifton,Ligar Bay,Motupipi,Pohara,Takaka,Tata Beach,Wainui Bay",Takaka
1773173,9597,Aberafon Street,Middlemarch,
1812283,3420,Abercorn Place,Tokoroa,
1827976,2014,Abercrombie Street,Howick,Auckland
1773574,9220,Abercrombie Street,Milton,
1804601,4291,Abercromby Street,Porangahau,
3051503,9371,Aberdare Court,Jacks Point,Queenstown
1842858,8025,Aberdare Street,Halswell,Christchurch
1799267,4412,Aberdeen Avenue,Takaro,Palmerston North
1838824,2103,Aberdeen Crescent,Wattle Downs,Auckland
1807754,3204,Aberdeen Drive,Dinsdale,Hamilton
3084289,3178,Aberdeen Lane,Aongatete,
3081560,7410,Aberdeen Place,Amberley,
1806623,3620,Aberdeen Place,Whangamata,
3018965,0620,Aberdeen Road,"Campbells Bay,Castor Bay",Auckland
3018964,4010,Aberdeen Road,"Gisborne,Te Hapara",Gisborne
1839433,7604,Aberdeen Road,Prebbleton,
1771996,9012,Aberdeen Road,Saint Clair,Dunedin
1783302,8013,Aberdeen Street,Christchurch Central,Christchurch
1808788,3116,Aberdeen Street,Mount Maunganui,
1775464,9510,Aberdeen Street,Waikouaiti,
3070610,2010,Aberfeldy Avenue,"Bucklands Beach,Highland Park",Auckland
3037392,9011,Aberfeldy Street,"Calton Hill,Lookout Point",Dunedin
1800101,5024,Aberfeldy Street,Cannons Creek,Porirua
1787010,8083,Aberfoyle Place,Parklands,Christchurch
1812281,3420,Aberfoyle Place,Tokoroa,
1807821,3204,Aberfoyle Street,"Dinsdale,Nawton",Hamilton
1824387,1023,Aberfoyle Street,Epsom,Auckland
1947610,3493,Abergeldie Way,Cambridge,
